"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:WBGene00003229",13.3126631305675,-3.47355622587755,0.682335088043083,-5.09068973111086,3.56763388968519e-07,1.44566729790722e-05
"gene:WBGene00020091",3.50699554802732,-4.08373376374851,1.33894641948104,-3.04996055430756,0.00228871423753399,0.0180551048194338
"gene:WBGene00021763",4.10250349827519,-4.31696851732074,1.31981401057001,-3.27089156710519,0.00107209008751535,0.0102256077937867
"gene:WBGene00021005",2.17408497071591,-4.43000440512196,1.46605089275472,-3.02172620815226,0.0025133776820014,0.0194280521295938
"gene:WBGene00003156",6.40188943786962,-4.05548527134786,1.12259484883438,-3.61259921650165,0.000303143057880483,0.00356343299029238
"gene:WBGene00021035",6.36001420021366,-4.97872729141539,1.27290772449775,-3.9113025992358,9.17996699560828e-05,0.00140257856391917
"gene:WBGene00002144",2.77365083195563,-3.72684052215586,1.38754991711916,-2.68591455786582,0.00723315828789364,0.0443090372490311
"gene:WBGene00004217",7.99260416116521,-2.9570441230926,0.771577151723275,-3.83246719590932,0.000126864520278569,0.00180712692204669
"gene:WBGene00000867",2.79688553900776,-3.73234258626356,1.39697168421187,-2.67173818084168,0.00754594992516423,0.0452479570880252
"gene:WBGene00022830",4.53327704332806,-3.5121524506092,1.16164756450093,-3.02342341854614,0.00249932277468275,0.0194114068833694
"gene:WBGene00016564",1.98163301783961,-4.30579205702242,1.54063260069341,-2.79482081262234,0.00519284889539155,0.0338781461935345
"gene:WBGene00019011",2.60781570435886,-4.69253746135384,1.40599588045125,-3.33751864183825,0.000845300512251492,0.00835000522959882
"gene:WBGene00001860",7.34849205207699,-2.24681425778476,0.705785511524011,-3.18342360547071,0.00145544514007491,0.0127625323842052
"gene:WBGene00015312",5.05978944749883,-5.64983670688054,1.28974588149497,-4.38058131291081,1.18363111942368e-05,0.000253386802989083
"gene:WBGene00000474",16.4532448220339,-2.21601564951398,0.476241692403257,-4.65313240075917,3.26930174995117e-06,8.88705192361726e-05
"gene:WBGene00000473",43.2252028374268,-2.7335875193119,0.356142757577351,-7.67553870225252,1.64724910199602e-14,6.71665821338877e-12
"gene:WBGene00002073",17.357949367325,-3.44606513385308,0.59361110426495,-5.80525719464131,6.42672749848572e-09,6.07651742030737e-07
"gene:WBGene00022586",2.45639950147855,-4.60751464567457,1.42108663615615,-3.24224753681258,0.00118590968234678,0.0109061045907954
"gene:WBGene00000386",7.79210119450882,-2.34735709720291,0.696758520611066,-3.36896791035185,0.000754502124371542,0.00764343456428562
"gene:WBGene00001599",4.75104862187174,-2.46285376727234,0.919246209355827,-2.67921014218619,0.00737960644889472,0.0449949088528871
"gene:WBGene00003184",4.23557660937822,-5.38831843434833,1.3201430520885,-4.08161708371217,4.47234376830497e-05,0.000742431825557802
"gene:WBGene00000871",4.32650777103143,-2.795745813696,1.03009769711973,-2.71405889122287,0.00664643495793018,0.0412180053854909
"gene:WBGene00004110",6.16779906935728,-2.2129004626299,0.760922744442489,-2.90818020461623,0.00363538784376833,0.0261780025306232
"gene:WBGene00011063",9.87513830344648,-4.09325112996842,0.918254684100098,-4.45764252646298,8.2865939587797e-06,0.000192390530203127
"gene:WBGene00000496",12.4316607412447,-3.13230123054808,0.6554683374407,-4.77872240599488,1.76412553143398e-06,5.30375804934346e-05
"gene:WBGene00001595",23.2361017881614,-2.90143316800061,0.46546860233242,-6.23335957240038,4.56536612695449e-10,6.0784589004594e-08
"gene:WBGene00001647",2.92277749402624,-3.80325006103248,1.37480259191019,-2.76639721470712,0.00566794494081074,0.0362881970499012
"gene:WBGene00000156",4.83555613982625,-2.48085738627798,0.92035428687016,-2.6955460757559,0.007027335805592,0.0432512630147945
"gene:WBGene00011352",6.59945567507075,-3.46330766209364,0.952369622126656,-3.63651630798557,0.000276350155062619,0.00336363509632188
"gene:WBGene00011036",3.92409447778453,-5.28040631772088,1.32422130226417,-3.98755578745969,6.67575096977738e-05,0.00107310282390679
"gene:WBGene00010621",13.1891285893351,-3.46820027271004,0.679118258185969,-5.10691655084366,3.27458272611028e-07,1.37485203553788e-05
"gene:WBGene00007979",5.0347936264343,-2.56097167155643,0.90724824825394,-2.82279042862325,0.00476076803698036,0.0315642791394917
"gene:WBGene00006324",5.74471016353055,-2.07896749761059,0.78134647933662,-2.66074981149935,0.00779668665837947,0.0462414397811524
"gene:WBGene00014117",3.10657972106949,-3.89002474832591,1.36996543674962,-2.83950575976236,0.00451834793969769,0.0304207450553021
"gene:WBGene00008780",9.28478916052897,-3.19838521395958,0.753061674003079,-4.2471756621975,2.16482225243353e-05,0.000408187872106253
"gene:WBGene00003026",9.22745950302946,-3.19218757726706,0.761328175598313,-4.19291926869564,2.75387468087903e-05,0.00050185135245963
"gene:WBGene00010609",7.79232786781805,-5.27988420370786,1.25354144000202,-4.21197419983128,2.53148463763427e-05,0.000465344972821654
"gene:WBGene00011489",3.51886369719226,-4.08702356703882,1.34086582351891,-3.04804813080627,0.00230333032402706,0.018148462601392
"gene:WBGene00005023",5.92727775030429,-2.82670183429811,0.873700917336725,-3.2353197509677,0.00121506576086782,0.0110251585867895
"gene:WBGene00011986",3.39110713100141,-4.0252317320314,1.35171887040847,-2.97786161024372,0.00290267013457293,0.0216918899862014
"gene:WBGene00007709",23.2266009531649,-6.87877305125546,1.21749526054688,-5.6499382578012,1.60505475836603e-08,1.20360657972183e-06
"gene:WBGene00011908",1.8680341416234,-4.21472679270242,1.54856458727343,-2.72169906721381,0.00649472553108667,0.0405469754687172
"gene:WBGene00018625",2.28768384693212,-4.50973438597872,1.44735998142472,-3.11583465333864,0.00183425089656663,0.015460791794833
"gene:WBGene00004915",7.15032992514392,-2.18197236214486,0.731079883491233,-2.98458815707657,0.00283960362956976,0.0213066075424022
"gene:WBGene00006793",4.25647047670701,-3.41762608023606,1.16955069643311,-2.92217010400586,0.00347601640364154,0.0252815284474442
"gene:WBGene00009553",3.69677112640517,-3.18485264669896,1.19718771179378,-2.66027843029478,0.00780760788321083,0.0462600172258091
"gene:WBGene00021191",2.1567855190498,-4.42214894890628,1.46166593964406,-3.02541697727672,0.00248290560273314,0.0193530181030239
"gene:WBGene00021056",3.80443474723536,-3.24286588606209,1.19199922988892,-2.72052682984056,0.00651779824402605,0.0405733739479422
"gene:WBGene00006817",2.28768384693212,-4.50973438597872,1.44735998142472,-3.11583465333864,0.00183425089656663,0.015460791794833
"gene:WBGene00017134",3.81840101798059,-4.20724531904688,1.33880787588656,-3.14253104931941,0.00167493947749633,0.0144332594638988
"gene:WBGene00077732",5.07533904558156,-4.64120306060259,1.29342568219529,-3.58830284916348,0.000332837538171097,0.0038844939159718
"gene:WBGene00019606",6.72670828837675,-3.50241983022503,0.955909166264762,-3.66396719879863,0.000248338602160575,0.00310763838895004
"gene:WBGene00018302",3.20637602143598,-3.94911461905542,1.35813086462883,-2.90775706664667,0.00364031009604283,0.0261845458286477
"gene:WBGene00016627",2.31463856859388,-4.52129888627336,1.43997103209486,-3.13985405643598,0.00169032020635526,0.0145100645082391
"gene:WBGene00016274",5.51081963280789,-5.7713640998047,1.28030130811625,-4.50781707651016,6.54980059790978e-06,0.000158850926025143
"gene:WBGene00017548",7.32242811698883,-2.50219084711947,0.733992106783178,-3.40901601528887,0.00065197652038759,0.0069050240568322
"gene:WBGene00011350",3.32808493625892,-5.04507435082724,1.35738978821662,-3.71674694669364,0.000201804387273065,0.00262788786940015
"gene:WBGene00007433",7.90404409652477,-2.38147312379234,0.699851987293105,-3.40282397854355,0.000666932323890572,0.00704056064896778
"gene:WBGene00006739",4.76527612735879,-2.45930755971033,0.919177865399347,-2.67555132938482,0.00746064478179245,0.0451223532131471
"gene:WBGene00009404",3.05495981855567,-3.87643649118091,1.36748319129757,-2.83472331934307,0.0045865389098119,0.0306488899969664
"gene:WBGene00009898",2.85231290845739,-4.82928603151039,1.39276454246744,-3.46741023644584,0.000525499221265397,0.00568550069574701
"gene:WBGene00009897",3.21603129143163,-3.95210001637663,1.35476833752106,-2.91717772472312,0.00353214449720082,0.025575705549099
"gene:WBGene00004241",22.1196486546443,-6.80739907032482,1.21598918217592,-5.59823982820593,2.16539061022723e-08,1.56966759345805e-06
"gene:WBGene00007225",2.89978550511715,-4.84530361952764,1.37886604864218,-3.51397702793465,0.000441450988028219,0.00496556249292431
"gene:WBGene00003231",9.12051288635724,-4.58526598403647,1.09494536869309,-4.18766644906619,2.81837312054188e-05,0.000510751839955979
"gene:WBGene00007331",5.38117446179386,-2.6700429028147,0.889320058202192,-3.00234193324317,0.00267911064683855,0.0203712329370334
"gene:WBGene00007332",5.91860118895167,-5.87676907393994,1.27416272160715,-4.6122594659867,3.98315348660578e-06,0.000104782634462162
"gene:WBGene00009365",4.84137469508724,-2.98078305024679,0.996025502462422,-2.99267743936029,0.0027654185858978,0.0208573304675113
"gene:WBGene00011038",6.15839777793369,-3.99226863634258,1.12826218096591,-3.53842280960333,0.000402524951478163,0.00461524215016439
"gene:WBGene00000411",6.60971603350412,-2.06140170912629,0.713544905086443,-2.88895862675463,0.00386519925778638,0.0272086856595422
"gene:WBGene00011464",4.98030639993587,-3.65675537704964,1.1496529367468,-3.1807472152398,0.0014689574596229,0.0128292884425433
"gene:WBGene00009661",14.7343119797543,-2.2447999787832,0.511456449108151,-4.38903445776773,1.13855030177902e-05,0.000248424821699209
"gene:WBGene00003228",9.22781461715439,-3.19829480143954,0.760435876965373,-4.20587047286984,2.60079164408385e-05,0.000475281923977677
"gene:WBGene00003154",9.5487986954629,-3.24470837067078,0.754051030713335,-4.30303552214665,1.68473826275803e-05,0.000338191766961026
"gene:WBGene00007573",2.30277041942894,-4.51626851397622,1.44071886515386,-3.13473268325246,0.0017201077810122,0.0146944649341094
"gene:WBGene00007580",3.17570128516459,-3.93654568212014,1.38071784849308,-2.85108625662838,0.00435701482438083,0.029554288253991
"gene:WBGene00004392",14.9280904485567,-3.42106786934119,0.635375006614457,-5.38432867790955,7.27155250977844e-08,4.19819544900837e-06
"gene:WBGene00003157",9.14844826971646,-2.39199520572486,0.64496331083406,-3.70873066040231,0.00020830085565737,0.00268568138796182
"gene:WBGene00000465",50.2127232020499,-5.75604835496912,0.68960577415526,-8.34686797978171,7.00969975943163e-17,4.5731281230532e-14
"gene:WBGene00011410",4.24021230354497,-2.77481606510965,1.04050893869564,-2.66678734022997,0.00765801118918933,0.0456263607290148
"gene:WBGene00015083",13.2698325939408,-6.06205441626109,1.22487708793479,-4.94911242603294,7.45526759917955e-07,2.53323780297122e-05
"gene:WBGene00019811",4.82967260242492,-3.61028901136115,1.15461999288097,-3.12682010845221,0.00176708015811726,0.0150109778015066
"gene:WBGene00015102",52.9486050026729,-4.09917797463014,0.425161308676498,-9.64146522972808,5.34199503610909e-22,4.97873937365367e-19
"gene:WBGene00004390",2.90897491817653,-3.80157953929289,1.38970607699749,-2.73552775095173,0.00622803346549407,0.0390314028135286
"gene:WBGene00018950",5.04790767629777,-3.04099058036027,1.00254424276769,-3.03327319696646,0.00241916481538599,0.0189467362011743
"gene:WBGene00018953",10.9942717650491,-2.33367541305694,0.59373822414133,-3.93047864895666,8.47769220286335e-05,0.00132316899357609
"gene:WBGene00000479",48.4398528074955,-2.81532608282535,0.350608906470548,-8.02981906867743,9.76165192579297e-16,4.8988474741441e-13
"gene:WBGene00018420",2.17408497071591,-4.43000440512196,1.46605089275472,-3.02172620815226,0.0025133776820014,0.0194280521295938
"gene:WBGene00006977",4.85841527361864,-3.61694675691148,1.15321828579695,-3.13639386528797,0.00171039331771169,0.0146630827920513
"gene:WBGene00004391",10.5724400203499,-3.11857939880042,0.698534976799557,-4.46445704564238,8.02720500452915e-06,0.000188466369202909
"gene:WBGene00011501",12.0787370902965,-3.32405370833433,0.685087159495618,-4.85201577968794,1.22212896511418e-06,3.8517726417415e-05
"gene:WBGene00003158",9.20003049535277,-2.63297933219681,0.686210266057912,-3.83698621608003,0.000124553460201528,0.00180007391847097
"gene:WBGene00004798",35.5536512205542,-2.76349907315405,0.391174021494468,-7.06462832730096,1.6104645568535e-12,4.37777948704676e-10
"gene:WBGene00006571",3.84818732928549,-3.24808608281109,1.19081658112651,-2.72761240840165,0.00637945176691982,0.0399036848776461
"gene:WBGene00006804",4.16729406319983,-2.7222472101377,1.01851095946525,-2.67277164260162,0.00752274405799489,0.0451918805104592
"gene:WBGene00012558",3.48497053758899,-4.0753019796061,1.34533104754902,-3.0292187094252,0.00245187111876552,0.0191568948249416
"gene:WBGene00012557",2.90304202439761,-3.79693020201901,1.38053385653713,-2.75033472307812,0.00595344162070603,0.0378559972061269
"gene:WBGene00022046",5.72407753094356,-2.38590940813891,0.822600411246395,-2.90044762380291,0.00372630106785758,0.0266383744220358
"gene:WBGene00016638",19.5489822100981,-5.71475252031623,1.06468865215942,-5.367533981625,7.98204727338271e-08,4.41312511962278e-06
"gene:WBGene00016636",13.1875539999894,-3.46716291200254,0.680537514539511,-5.0947417856143,3.49216892556813e-07,1.43964966405447e-05
"gene:WBGene00018778",4.90719038352428,-2.52095356219586,0.896019987489616,-2.81350148143328,0.00490051603562365,0.0323265587627995
"gene:WBGene00003955",7.31235917778486,-3.62878453821022,0.938392571333508,-3.8670218084245,0.000110172578896905,0.00164101804731371
"gene:WBGene00019947",11.031551766094,-2.50943611557527,0.614010583034452,-4.08695906049956,4.37064207028325e-05,0.000731129970936614
"gene:WBGene00004374",26.5221221292582,-4.81061391617529,0.702063078187293,-6.85211068013456,7.27682184217927e-12,1.58246618994592e-09
"gene:WBGene00022257",8.0152201577435,-3.31329169114711,0.845232246708065,-3.91997785703447,8.85571048562716e-05,0.00136260979264697
"gene:WBGene00015938",5.27505607235259,-2.25402439708627,0.830280879766689,-2.71477333998063,0.00663211444993173,0.0411683298490529
"gene:WBGene00016084",5.61798166236033,-5.80265036096785,1.27742443506335,-4.54246075281946,5.56013504767689e-06,0.000138451607065053
"gene:WBGene00017989",4.46505264219132,-2.83699204955914,1.00801659294759,-2.81442991058644,0.00488638319089205,0.0322659554022062
"gene:WBGene00006930",411.410411200367,-6.36505004657688,0.354000469954772,-17.9803434933013,2.77766468064175e-72,1.81214843765067e-68
"gene:WBGene00019504",5.31217844597351,-2.65680416957019,0.896441205594514,-2.96372383709004,0.00303940921082472,0.0225074979471288
"gene:WBGene00016178",5.47860455971023,-2.70020856887221,0.900919672706739,-2.99716906032217,0.00272499547626593,0.0206479332022751
"gene:WBGene00009006",5.72620101525065,-2.08312990315001,0.770471699713954,-2.70370722756384,0.00685706763651906,0.0424435571732925
"gene:WBGene00003864",9.42681132815544,-2.92990297044743,0.708122111402131,-4.13756741001353,3.51007344061474e-05,0.000615583847488456
"gene:WBGene00009186",11.0503868313722,-3.4748182287161,0.74145276484126,-4.68649979268745,2.77917100891157e-06,7.7816788249524e-05
"gene:WBGene00001607",15.9668696448541,-3.76155136859396,0.666749951135358,-5.64162226362177,1.68455353624013e-08,1.24886673527621e-06
"gene:WBGene00011746",5.1490874556937,-2.20478746391167,0.836450225413465,-2.63588602994497,0.00839179120706352,0.0485355016266688
"gene:WBGene00001653",3.06461508855132,-3.87960021672847,1.36396621016455,-2.84435214583536,0.00445018342936992,0.0300860069359683
"gene:WBGene00012385",1.87768941161905,-4.22018399612805,1.52497157751147,-2.76738534564348,0.00565079181438937,0.036213915321293
"gene:WBGene00010351",66.7350569692824,-4.64975146415267,0.450831255392818,-10.3137291581553,6.10840634191282e-25,9.96281074365981e-22
"gene:WBGene00010354",1.87447098828717,-4.21840702929587,1.52556678441925,-2.76514084626045,0.00568982226276219,0.0363569054282669
"gene:WBGene00009035",16.2472633709681,-4.84118907127167,0.888797855486476,-5.44689553579299,5.12565457347398e-08,3.18474004165183e-06
"gene:WBGene00006916",5.1995851139199,-2.61713786602451,0.890508245422078,-2.93892603406951,0.00329351663069919,0.0241425870771702
"gene:WBGene00000417",5.5779265740618,-2.03226066200426,0.773994137279497,-2.62567965843699,0.00864761595253118,0.0494452642193807
"gene:WBGene00003230",24.5868602423571,-2.60703470346312,0.43978569262983,-5.92796615977564,3.06709682107076e-09,3.22737736462349e-07
"gene:WBGene00012866",10.6322388971979,-4.81180597335447,1.08645101450788,-4.42892123906204,9.47055976252419e-06,0.000212322790002432
"gene:WBGene00004239",10.4473930300434,-5.70831046483238,1.23627867194689,-4.61733312590674,3.88703025958954e-06,0.000102667957139928
"gene:WBGene00007458",6.78505711207497,-6.07381036322875,1.2603825174881,-4.81902143115541,1.44264058417196e-06,4.46056264034971e-05
"gene:WBGene00012879",5.78924809245827,-4.84001271248598,1.27596543324548,-3.79321616901109,0.000148708590542643,0.00204678237278524
"gene:WBGene00010084",2.44875531980808,-4.60457324268424,1.43106737813522,-3.21757962835008,0.00129277136679308,0.011569328390889
"gene:WBGene00013297",4.16758613772046,-5.37292029006358,1.31616793097809,-4.0822452542745,4.46026909936336e-05,0.000742316214394045
"gene:WBGene00001606",5.3551794624331,-5.7310483916556,1.28791175727348,-4.44987660007724,8.59196426721331e-06,0.000194681556643092
"gene:WBGene00008710",4.82253001203221,-3.61378825613936,1.15286593011433,-3.13461276089665,0.00172081103765475,0.0146944649341094
"gene:WBGene00019971",5.68584417346404,-3.87369864412352,1.13500552595708,-3.41293373074731,0.000642675681230986,0.00681758722658691
"gene:WBGene00000387",1.87768941161905,-4.22018399612805,1.52497157751147,-2.76738534564348,0.00565079181438937,0.036213915321293
"gene:WBGene00003159",10.2960607449733,-3.07309240872919,0.697094910155739,-4.40842755263072,1.04123838410364e-05,0.000231055755710617
"gene:WBGene00017986",4.08120321790783,-4.31167134629048,1.31526064717629,-3.27818775354311,0.00104475879465799,0.00997951153198933
"gene:WBGene00017931",3.08784979560345,-3.88449052665119,1.37013104676009,-2.83512335249736,0.00458079947372152,0.0306488899969664
"gene:WBGene00020948",6.10666547943798,-4.91548770013005,1.27273955319175,-3.86213164178255,0.000112401967903935,0.00167041102187989
"gene:WBGene00004984",20.3054252435893,-4.40601833593333,0.705385637889658,-6.24625467157946,4.20411503383466e-10,5.71409301682028e-08
"gene:WBGene00001399",1.89277598411587,-4.22851587699136,1.53892164979741,-2.74771355484408,0.00600124130593985,0.0380117459028656
"gene:WBGene00016501",5.81435230524543,-2.12138355330266,0.779857067414847,-2.7202209763064,0.00652383036042174,0.0405733739479422
"gene:WBGene00003865",14.9762936714105,-6.23879135275549,1.22219596385243,-5.104575319567,3.31538207912868e-07,1.37767851491946e-05
"gene:WBGene00004078",18.5495298375122,-5.04026490245973,0.884609733227694,-5.69772715937594,1.21415150308585e-08,9.57243438747596e-07
"gene:WBGene00011898",3.44510402665111,-5.09854164088421,1.35995536230369,-3.7490507278471,0.000177505181729061,0.00238771918680494
"gene:WBGene00008371",2.80281843278668,-3.73722819599603,1.38897989488874,-2.69062799954739,0.00713176703585921,0.0437701299547935
"gene:WBGene00008377",7.29154197209648,-5.17744800329252,1.25669562222435,-4.11989021981984,3.79052957574661e-05,0.000662986996036752
"gene:WBGene00008378",10.2289538037194,-6.66709069243814,1.23515180003219,-5.39779053251946,6.74665682186671e-08,4.00138082780531e-06
"gene:WBGene00008921",6.60985525448718,-4.09090369859571,1.11773098742446,-3.6600074120001,0.000252207952828297,0.00314008527528971
"gene:WBGene00007118",6.30189087691577,-2.93133471346131,0.884143946948537,-3.31544962059434,0.000914958314157119,0.00890923588292693
"gene:WBGene00014124",5.94312714882067,-2.46262444681864,0.808787038201994,-3.04483668815128,0.00232806687803711,0.0183212404249869
"gene:WBGene00008218",18.4501480951684,-4.60342808991574,0.780886051811139,-5.89513422507527,3.74376933721138e-09,3.86744354254752e-07
"gene:WBGene00011195",6.60324109089178,-2.32806894960706,0.745768987341533,-3.12170255015029,0.00179808509638633,0.0152346846348369
"gene:WBGene00044081",3.07276322310663,-3.87960031348297,1.36357342076328,-2.84517155762051,0.004438750924564,0.0300398454687298
"gene:WBGene00044080",5.37992130492557,-5.7353694206734,1.28470187286547,-4.46435826226432,8.03090904941885e-06,0.000188466369202909
"gene:WBGene00011320",2.9084352309502,-4.84813079118017,1.37876042594157,-3.51629674014565,0.000437611588633458,0.00493087738211517
"gene:WBGene00003155",9.72456990714693,-2.98077373185292,0.702536232812521,-4.24287544561188,2.20673925944368e-05,0.000413700199098006
"gene:WBGene00000868",16.0031534196294,-5.42470834905194,1.06940881228675,-5.07262357175841,3.92368177433687e-07,1.55139999368326e-05
"gene:WBGene00011689",1.86260283912223,-4.21187941018324,1.53462668959806,-2.74456285605615,0.00605915497144988,0.0382671123269496
"gene:WBGene00008825",5.30871240993593,-5.72294491130432,1.28605294557007,-4.45000723416367,8.58673969674042e-06,0.000194681556643092
"gene:WBGene00012020",5.24338705234762,-3.74491904534678,1.14642756445725,-3.26659892124954,0.00108847771975828,0.010366757144092
"gene:WBGene00012316",5.71991064573969,-2.07701810156576,0.769721090362596,-2.69840352248544,0.00696729298397209,0.0429291541924192
"gene:WBGene00006929",109.766825560647,-6.89712412407199,0.685383031697108,-10.0631673168122,8.03702123814781e-24,1.04867053115353e-20
"gene:WBGene00022822",3.78132800073727,-5.22662208290099,1.33121309913394,-3.92620992559443,8.62948485428086e-05,0.00133726268858262
"gene:WBGene00045394",2.97456151050665,-4.88680089987169,1.82454345042178,-2.67836915516702,0.00739816309607242,0.045001707593537
"gene:WBGene00022820",3.21026209254824,-4.98918820093273,1.37706973287752,-3.62304688122608,0.000291153026562165,0.0034741479728198
"gene:WBGene00006928",27.7758998785689,-5.6369167113147,0.87406404054182,-6.44908891094577,1.12524538898935e-10,1.74788117089679e-08
"gene:WBGene00006927",39.4662862975118,-7.64624136305592,1.20739207134489,-6.33285702674765,2.40662556247555e-10,3.489072259909e-08
"gene:WBGene00017177",2.14491736988486,-4.41660399296628,1.47066853775549,-3.00312672745882,0.00267221132128137,0.0203424815169658
"gene:WBGene00006926",218.670932138592,-6.75294273768766,0.482876387731594,-13.9848269852476,1.9294549067989e-44,6.29388190597802e-41
"gene:WBGene00018605",1.87125256495528,-4.21660222484055,1.53294690113863,-2.75065119457731,0.00594769371189257,0.0378559972061269
