"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:WBGene00022032",1.62573307921311,4.35408634042241,1.65579583589042,2.62960338831928,0.00854845340199177,0.0491840833130642
"gene:WBGene00021212",1.99685528732188,4.64906095012751,1.51328213680305,3.07217063960663,0.0021250820522105,0.0172652992635384
"gene:WBGene00004969",11.2327629947054,6.1595175353797,1.23668436602426,4.98067065825498,6.33642959581446e-07,2.24667753712465e-05
"gene:WBGene00022162",2.02273016478773,4.66129596029275,1.51499547764945,3.07677219441265,0.00209255154331575,0.0171289915540677
"gene:WBGene00001196",5.93448309769578,2.04069297159137,0.721215512638133,2.82951896601159,0.00466180368413431,0.0309710867976499
"gene:WBGene00021007",6.15482403860967,6.27481634301293,1.28505340331152,4.88292262939661,1.04524892104689e-06,3.35921377384725e-05
"gene:WBGene00021471",1.63388121376842,4.35926304850601,1.64107072366597,2.65635294423381,0.00789908939140884,0.0462600172258091
"gene:WBGene00022281",7.89146110294176,4.72583060710234,1.12267673365364,4.20943132198223,2.56014245319973e-05,0.000469167678783006
"gene:WBGene00022282",6.87648076431682,6.43469063888947,1.28146957794419,5.02133702558305,5.13130319335415e-07,1.90208079735469e-05
"gene:WBGene00006047",2.36654702163073,4.89281853912434,1.44545209363826,3.38497454233085,0.000711848562135742,0.0073072697609087
"gene:WBGene00019461",1.83116663687793,4.51986753914849,1.56812496919949,2.88233886196955,0.00394734974743856,0.0274547012284533
"gene:WBGene00021271",2.7228034344288,5.09668134855025,1.40932207040542,3.61640639537,0.0002987212687008,0.00353694656443561
"gene:WBGene00017978",4.38255952566307,5.78012441964809,1.31369699971298,4.39989161953705,1.08304956578958e-05,0.000238709978622
"gene:WBGene00017975",2.37469515618603,4.89595782674965,1.4472277523635,3.38299056161269,0.000717010964133162,0.00733194283699804
"gene:WBGene00020990",14.9362393590464,7.55047434124701,1.2235934635137,6.17073772163257,6.79720947025928e-10,8.52788357384069e-08
"gene:WBGene00021128",5.50268442913051,2.71429199625657,0.835795059600592,3.24755688021615,0.00116400395506393,0.0108265619478934
"gene:WBGene00021639",1.82301850232262,4.51547054659704,1.58794654296478,2.84359103056859,0.00446082647232554,0.0300955862517599
"gene:WBGene00021650",2.18984928903161,4.77956570666053,1.47276492762296,3.24530114549559,0.00117326476044767,0.0108265619478934
"gene:WBGene00017026",1.99685528732188,4.64906095012751,1.51328213680305,3.07217063960663,0.0021250820522105,0.0172652992635384
"gene:WBGene00020187",6.35882712247456,6.32003649430933,1.2751129383618,4.956452329963,7.17919710992101e-07,2.46890926142141e-05
"gene:WBGene00020627",1.80914847256761,4.50787327526073,1.59144526890384,2.83256569568721,0.0046176076491951,0.0307087383316502
